    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
        64   161.8358    93.000  0.119518721  0.331669544  0.070782273  0.478029462  1  1.000000  0.000000   726.2792        NaN  3.557E-01        NaN  0.119518721  0.331669544  0.070782273  0.478029462          NaN          NaN          NaN          NaN
        65   160.2643    93.000  0.048339228  0.000140072  0.008061206  0.943459494  1  1.000000  0.000000   812.7045        NaN  6.213E-01        NaN  0.048339228  0.000140072  0.008061206  0.943459494          NaN          NaN          NaN          NaN
        66   157.3452    93.000  0.201258580  0.228352984  0.449071421  0.121317016  1  1.000000  0.000000   596.3549        NaN  1.388E-01        NaN  0.201258580  0.228352984  0.449071421  0.121317016          NaN          NaN          NaN          NaN
        67   156.8728    93.000  0.000781188  0.068747506  0.014437646  0.916033661  1  1.000000  0.000000   810.1673        NaN  6.144E-01        NaN  0.000781188  0.068747506  0.014437646  0.916033661          NaN          NaN          NaN          NaN
        68   155.5897    93.000  0.002488923  0.225455157  0.273887464  0.498168457  1  1.000000  0.000000   742.9402        NaN  3.923E-01        NaN  0.002488923  0.225455157  0.273887464  0.498168457          NaN          NaN          NaN          NaN
        69   150.1426    93.000  0.207261955  0.074760621  0.717977420  0.000000003  1  1.000000  0.000000   547.8461        NaN  1.025E-01        NaN  0.207261955  0.074760621  0.717977420  0.000000003          NaN          NaN          NaN          NaN
        70   123.8174    93.000  0.000033825  0.206695373  0.000811963  0.792458839  1  1.000000  0.000000   789.8300        NaN  5.468E-01        NaN  0.000033825  0.206695373  0.000811963  0.792458839          NaN          NaN          NaN          NaN
        71   129.2867    93.000  0.122540207  0.120781739  0.157794008  0.598884046  1  1.000000  0.000000   753.8192        NaN  4.211E-01        NaN  0.122540207  0.120781739  0.157794008  0.598884046          NaN          NaN          NaN          NaN
        72   155.4024    93.000  0.592561286  0.034327623  0.353906404  0.019204687  2  0.701840  0.298160   455.5416   141.3272  6.354E-02  1.852E-02  0.506009592  0.037145045  0.432025979  0.024819384  0.884621790  0.024820497  0.090299287  0.000258425
        73   116.9389    93.000  0.881352405  0.024866992  0.091898796  0.001881807  2  0.025087  0.974913   505.0781    96.6927  7.970E-02  1.562E-02  0.389828429  0.037960984  0.532338316  0.039872271  0.904531647  0.024249507  0.071128590  0.000090256
        74   122.5889    93.000  0.172275604  0.004797254  0.000228552  0.822698590  1  1.000000  0.000000   789.2501        NaN  5.399E-01        NaN  0.172275604  0.004797254  0.000228552  0.822698590          NaN          NaN          NaN          NaN
        75   152.9785    93.000  0.065929211  0.782811222  0.145868944  0.005390622  1  1.000000  0.000000   466.5231        NaN  6.845E-02        NaN  0.065929211  0.782811222  0.145868944  0.005390622          NaN          NaN          NaN          NaN
        76   160.4353    93.000  0.698090741  0.000000651  0.301762215  0.000146393  2  0.492034  0.507966   417.4424   147.7456  5.375E-02  1.900E-02  0.554014112  0.000000754  0.445734447  0.000250688  0.895081263  0.000000511  0.104914430  0.000003796
        77   131.2917    93.000  0.255553983  0.381876486  0.362527888  0.000041643  1  1.000000  0.000000   459.2196        NaN  6.477E-02        NaN  0.255553983  0.381876486  0.362527888  0.000041643          NaN          NaN          NaN          NaN
        78   128.9347    93.000  0.071735733  0.531999338  0.390493362  0.005771566  1  1.000000  0.000000   512.7209        NaN  8.514E-02        NaN  0.071735733  0.531999338  0.390493362  0.005771566          NaN          NaN          NaN          NaN
