    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
        52   141.3487   108.250  0.161183080  0.114781461  0.056132793  0.667902666  1  1.000000  0.000000   757.1223        NaN  4.232E-01        NaN  0.161183080  0.114781461  0.056132793  0.667902666          NaN          NaN          NaN          NaN
        53   147.5884    82.540  0.020059108  0.000412230  0.623807473  0.355721188  1  1.000000  0.000000   722.4522        NaN  3.308E-01        NaN  0.020059108  0.000412230  0.623807473  0.355721188          NaN          NaN          NaN          NaN
        54   144.5223   108.971  0.636092814  0.009179332  0.000413857  0.354313997  2  0.562026  0.437974   732.4092    78.7502  3.539E-01  1.601E-02  0.377711026  0.010895872  0.000659345  0.610733757  0.992232026  0.006813347  0.000075490  0.000879137
        55   146.7882   107.073  0.343467503  0.167339483  0.274162318  0.215030696  1  1.000000  0.000000   598.2732        NaN  1.364E-01        NaN  0.343467503  0.167339483  0.274162318  0.215030696          NaN          NaN          NaN          NaN
        56   121.8168    93.680  0.327187644  0.006502686  0.398034234  0.268275436  1  1.000000  0.000000   646.6975        NaN  1.889E-01        NaN  0.327187644  0.006502686  0.398034234  0.268275436          NaN          NaN          NaN          NaN
        57   121.7771   100.676  0.055477405  0.000000047  0.006645075  0.937877473  1  1.000000  0.000000   804.7502        NaN  5.685E-01        NaN  0.055477405  0.000000047  0.006645075  0.937877473          NaN          NaN          NaN          NaN
        58   127.2343    78.185  0.002956385  0.000000389  0.392216041  0.604827184  1  1.000000  0.000000   771.7913        NaN  4.734E-01        NaN  0.002956385  0.000000389  0.392216041  0.604827184          NaN          NaN          NaN          NaN
        59   155.7667   117.735  0.021883309  0.970699013  0.000360094  0.007057584  1  1.000000  0.000000   398.1900        NaN  5.050E-02        NaN  0.021883309  0.970699013  0.000360094  0.007057584          NaN          NaN          NaN          NaN
        60   120.4776    71.353  0.010861184  0.834846187  0.151807509  0.002485120  1  1.000000  0.000000   496.5982        NaN  8.075E-02        NaN  0.010861184  0.834846187  0.151807509  0.002485120          NaN          NaN          NaN          NaN
        61   161.4863    88.139  0.000000000  0.638302464  0.007809619  0.353887917  1  1.000000  0.000000   694.6384        NaN  2.872E-01        NaN  0.000000000  0.638302464  0.007809619  0.353887917          NaN          NaN          NaN          NaN
        62   152.9882   107.391  0.544812699  0.150677717  0.001043609  0.303465975  2  0.636752  0.363248   688.4993   104.8044  2.577E-01  1.689E-02  0.370509796  0.169878478  0.001466109  0.458145617  0.885094561  0.113193141  0.000218786  0.001493512
        63   153.2428   100.221  0.000080904  0.006332179  0.108576137  0.885010780  1  1.000000  0.000000   803.4117        NaN  5.652E-01        NaN  0.000080904  0.006332179  0.108576137  0.885010780          NaN          NaN          NaN          NaN
        64   137.1579   107.303  0.716394359  0.000368797  0.080037443  0.203199402  2  0.385013  0.614987   697.9657    81.1890  2.706E-01  1.587E-02  0.370509953  0.000463866  0.160152015  0.468874166  0.980003926  0.000296342  0.018979565  0.000720168
        65   132.4975    75.569  0.112159502  0.526469773  0.338878498  0.022492228  1  1.000000  0.000000   532.7257        NaN  9.737E-02        NaN  0.112159502  0.526469773  0.338878498  0.022492228          NaN          NaN          NaN          NaN
        66   119.4098    86.241  0.024472146  0.041586989  0.851400536  0.082540329  1  1.000000  0.000000   632.3197        NaN  1.722E-01        NaN  0.024472146  0.041586989  0.851400536  0.082540329          NaN          NaN          NaN          NaN
        67   121.7049    85.343  0.057126161  0.022088821  0.149375075  0.771409943  1  1.000000  0.000000   790.1563        NaN  5.393E-01        NaN  0.057126161  0.022088821  0.149375075  0.771409943          NaN          NaN          NaN          NaN
